"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30","Topic 31","Topic 32","Topic 33","Topic 34","Topic 35","Topic 36","Topic 37","Topic 38","Topic 39","Topic 40","Topic 41","Topic 42","Topic 43","Topic 44","Topic 45","Topic 46","Topic 47","Topic 48","Topic 49","Topic 50","Topic 51","Topic 52","Topic 53","Topic 54","Topic 55","Topic 56","Topic 57","Topic 58","Topic 59","Topic 60","Topic 61","Topic 62"
"1","cancel","hurricanesandi","readi","rain","tonight","name","night","flood","love","rain","lol","close","thought","night","halloween","tweet","lol","way","dure","call","befor","hous","fuck","whi","weather","tonight","away","prepar","fuck","watch","beach","want","citi","love","stop","flood","fuck","park","thing","god","damag","today","flood","better","bitch","bitch","flood","flood","flood","wait","flood","let","affect","tree","close","watch","live","well","flood","flood","away","flood"
"2","due","flood","bring","start","today","aint","last","alreadi","dure","start","flood","due","affect","last","cancel","dure","tree","god","thing","tweet","better","tree","bitch","gonna","hurricanesandi","gonna","blow","readi","prepar","news","hous","dure","hous","staysaf","gonna","street","bitch","tree","onli","keep","hous","hurricanesandi","water","wish","aint","aint","alreadi","street","water","way","water","keep","thought","hous","today","news","hurricanesandi","dure","live","watch","blow","water"
"3","staysaf","weather","stop","love","gonna","lol","befor","water","staysaf","way","stop","today","staysaf","befor","way","live","flood","water","onli","prepar","wish","damag","want","readi","watch","whi","bitch","bring","citi","love","wish","weather","bitch","bring","bring","alreadi","prepar","tweet","way","way","god","street","hurricanesandi","befor","want","tonight","dure","alreadi","keep","alreadi","let","gonna","staysaf","street","due","keep","weather","aint","water","hous","wait","street"
"4","alreadi","live","hurricanesandi","bring","flood","last","tonight","tweet","hurricanesandi","today","wait","name","let","affect","rain","gonna","gonna","onli","keep","hurricanesandi","want","prepar","alreadi","start","street","staysaf","cancel","hurricanesandi","today","weather","street","tweet","wait","wish","rain","tonight","start","befor","call","love","wish","watch","alreadi","watch","way","thing","bring","dure","citi","wish","alreadi","onli","cancel","thing","let","well","prepar","damag","dure","affect","hous","hous"
"5","fuck","prepar","prepar","alreadi","stop","hurricanesandi","bring","bring","cancel","citi","readi","night","live","keep","keep","tonight","bitch","street","flood","want","flood","lol","better","onli","rain","let","street","today","hurricanesandi","tweet","befor","bitch","tweet","let","lol","fuck","dure","staysaf","keep","onli","alreadi","stop","aint","flood","park","citi","way","wish","alreadi","god","citi","weather","fuck","live","live","fuck","rain","keep","damag","wish","watch","way"
"6","hurricanesandi","keep","citi","news","keep","halloween","news","staysaf","befor","love","rain","gonna","name","today","wait","thought","damag","away","stop","tonight","well","befor","hurricanesandi","today","befor","water","gonna","well","wish","want","start","cancel","stop","start","way","lol","better","dure","live","gonna","whi","thing","street","hous","tree","god","fuck","god","news","befor","gonna","thought","live","let","onli","bring","stop","whi","let","citi","rain","readi"
"7","halloween","way","onli","stop","rain","damag","aint","watch","stop","hous","today","affect","god","god","hurricanesandi","hurricanesandi","weather","gonna","gonna","flood","park","gonna","dure","away","way","affect","fuck","name","tonight","due","well","god","gonna","gonna","better","love","citi","prepar","dure","lol","aint","onli","lol","call","fuck","hurricanesandi","damag","hurricanesandi","watch","rain","hous","way","due","watch","tree","alreadi","let","hous","way","readi","befor","want"
"8","water","street","tonight","readi","tweet","prepar","lol","affect","way","aint","prepar","away","wish","want","bitch","readi","citi","lol","blow","live","call","well","away","let","live","today","watch","hous","staysaf","befor","prepar","hurricanesandi","last","aint","tweet","rain","thing","affect","hurricanesandi","let","staysaf","well","prepar","street","tweet","watch","today","call","well","well","way","affect","way","way","better","befor","watch","fuck","prepar","well","god","citi"
"9","better","bring","befor","dure","want","weather","tree","prepar","flood","better","aint","blow","watch","close","damag","lol","affect","halloween","bring","today","bitch","hurricanesandi","water","staysaf","away","street","name","better","better","flood","gonna","affect","better","tweet","wait","onli","close","tonight","halloween","park","gonna","bitch","start","last","alreadi","prepar","better","prepar","last","keep","love","watch","keep","rain","hous","close","citi","cancel","start","god","bitch","tweet"
"10","start","name","bitch","aint","staysaf","water","park","live","damag","tonight","blow","water","away","tree","citi","halloween","better","close","wait","due","let","let","prepar","bitch","wish","onli","want","weather","cancel","name","due","last","blow","god","affect","better","well","hous","lol","well","readi","befor","close","bring","street","street","whi","water","hous","lol","god","want","thing","dure","wait","aint","lol","gonna","cancel","away","weather","damag"
