,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52
1,damag,let,cancel,need,name,cancel,better,way,thing,night,well,live,beach,street,away,alreadi,wait,call,aint,newyork,weather,tweet,stop,house,readi,halloween,gonna,away,keep,rain,wish,apocalypse,dure,want,city,love,look,news,prepar,watch,start,love,newyork,onli,water,watch,newyork,look,wait,say,park,tree
2,house,damag,due,want,need,due,wish,look,onli,bring,tonight,dure,bring,water,blow,water,readi,way,gonna,city,live,live,need,tree,bring,apocalypse,aint,blow,dure,gonna,well,newyork,say,aint,newyork,weather,live,watch,readi,news,rain,tonight,apocalypse,thing,street,news,apocalypse,stop,need,wait,tree,house
3,gonna,night,street,wait,house,alreadi,damag,damag,gonna,dure,want,weather,wish,dure,tonight,rain,bring,need,rain,apocalypse,house,wait,look,stop,start,need,alreadi,better,thing,say,need,tonight,keep,night,way,park,tonight,rain,better,live,bring,name,stop,start,alreadi,due,due,bring,tonight,want,night,prepar
4,look,rain,better,stop,city,tonight,beach,keep,stop,well,damag,blow,away,house,tweet,away,aint,readi,readi,cancel,dure,weather,night,tweet,city,away,tonight,night,let,wait,damag,love,want,live,due,start,let,tonight,dure,tonight,say,rain,wait,bring,house,dure,gonna,night,better,readi,keep,let
5,start,street,bring,wish,prepar,love,apocalypse,water,readi,apocalypse,weather,tweet,call,damag,gonna,way,way,night,apocalypse,want,halloween,cancel,love,halloween,need,gonna,say,weather,need,apocalypse,say,street,aint,cancel,rain,live,damag,tree,thing,gonna,watch,news,let,halloween,halloween,tonight,bring,wait,let,let,readi,due
6,say,better,look,aint,rain,rain,well,prepar,live,wait,halloween,news,love,alreadi,prepar,house,keep,aint,stop,way,look,halloween,wish,away,name,blow,halloween,newyork,look,alreadi,house,cancel,house,street,cancel,keep,start,onli,away,way,damag,damag,tweet,well,onli,look,well,due,keep,onli,wish,rain
7,newyork,gonna,rain,rain,want,damag,tonight,bring,prepar,thing,wish,tonight,onli,newyork,apocalypse,readi,tree,say,dure,live,love,prepar,away,live,weather,weather,stop,call,well,live,wait,keep,call,halloween,stop,street,well,start,tonight,thing,onli,bring,aint,call,tree,bring,onli,well,city,apocalypse,damag,news
8,live,look,blow,onli,street,better,love,alreadi,way,cancel,love,street,alreadi,prepar,let,well,let,wish,due,need,name,alreadi,street,well,prepar,readi,well,rain,tree,bring,look,dure,apocalypse,park,dure,wish,rain,water,gonna,aint,stop,away,well,dure,park,street,park,weather,way,alreadi,dure,park
9,away,park,love,watch,start,watch,way,say,better,weather,need,let,let,rain,start,street,cancel,better,name,beach,cancel,want,tweet,want,blow,look,want,say,park,city,city,thing,cancel,news,alreadi,news,park,newyork,due,better,look,call,beach,want,tonight,beach,live,halloween,look,news,thing,street
10,aint,newyork,watch,away,away,need,need,beach,let,park,call,thing,say,thing,watch,blow,start,alreadi,wait,weather,start,name,prepar,park,street,rain,away,want,prepar,night,stop,need,let,prepar,park,look,better,look,well,let,away,way,house,watch,rain,onli,start,name,love,wish,aint,watch
11,street,apocalypse,beach,start,live,halloween,watch,wish,damag,love,wait,well,look,weather,call,apocalypse,damag,look,tree,readi,damag,due,start,rain,watch,aint,wish,keep,call,want,live,park,need,dure,want,say,keep,night,tweet,night,beach,onli,tonight,look,better,rain,watch,street,tweet,tree,onli,gonna
12,water,tonight,live,way,let,wish,say,onli,keep,away,aint,away,name,apocalypse,night,aint,watch,let,start,street,well,water,rain,look,love,let,look,wait,live,wish,thing,watch,love,weather,street,damag,wait,prepar,halloween,wait,wait,cancel,watch,beach,let,damag,beach,need,due,blow,well,call
13,tonight,beach,well,newyork,due,start,start,city,halloween,aint,onli,way,damag,cancel,keep,watch,thing,tonight,love,let,stop,better,water,bring,onli,love,bring,aint,bring,call,away,look,blow,tree,watch,tree,watch,park,beach,prepar,aint,tweet,street,live,gonna,well,night,park,gonna,aint,alreadi,better
14,keep,away,dure,love,watch,park,aint,weather,away,house,away,watch,watch,keep,look,name,name,rain,wish,tree,readi,way,tonight,thing,thing,call,need,readi,watch,blow,better,beach,weather,onli,look,want,due,say,rain,blow,live,stop,look,name,way,blow,damag,better,say,name,weather,look
15,watch,way,name,gonna,look,city,keep,tweet,city,want,cancel,look,live,name,street,start,beach,love,live,well,tonight,house,newyork,wish,wish,damag,onli,thing,beach,cancel,aint,live,news,need,beach,away,newyork,damag,love,need,well,street,live,blow,look,alreadi,street,tree,aint,weather,want,beach
16,beach,start,alreadi,say,beach,beach,look,tree,water,beach,watch,beach,well,bring,city,want,say,want,tonight,away,apocalypse,watch,damag,way,halloween,watch,watch,water,name,readi,bring,well,watch,away,live,onli,aint,cancel,name,away,dure,prepar,dure,alreadi,live,keep,keep,watch,prepar,due,stop,live
17,well,wish,prepar,dure,well,night,live,watch,look,let,look,name,dure,way,beach,stop,due,news,weather,call,newyork,call,cancel,aint,water,beach,beach,due,blow,watch,apocalypse,name,look,wait,well,name,wish,city,alreadi,say,name,let,name,prepar,call,tree,look,beach,apocalypse,cancel,street,well
18,dure,onli,need,alreadi,dure,call,dure,live,park,tweet,beach,bring,blow,readi,live,tree,news,watch,halloween,watch,onli,readi,better,cancel,aint,live,live,look,alreadi,look,watch,bring,beach,watch,name,need,tweet,beach,let,city,blow,wait,bring,need,tweet,live,dure,dure,tree,look,watch,dure
19,name,keep,let,water,bring,aint,name,well,love,way,live,alreadi,prepar,start,well,look,look,beach,say,look,watch,look,well,watch,house,well,dure,watch,start,beach,beach,blow,live,look,bring,due,way,live,start,look,alreadi,start,blow,let,wait,name,name,cancel,beach,away,look,name
